time [ns], J [arb. u.]
3.751250416805601562e-01,9.160792135297409627e-03
3.801267089029676249e-01,6.712577790863918578e-03
3.851283761253750937e-01,8.199938766946617691e-03
3.901300433477825624e-01,4.124756640708707699e-03
3.951317105701900312e-01,9.533887851501488681e-03
4.001333777925974999e-01,9.798618801612932975e-04
4.051350450150049687e-01,7.687706289530846226e-03
4.101367122374124374e-01,4.935340528233215715e-03
4.151383794598199062e-01,5.274054713654755325e-03
4.201400466822273749e-01,1.426096256759486029e-03
4.251417139046348437e-01,6.136175600598582809e-03
4.301433811270423124e-01,5.667623576993825220e-03
4.351450483494497812e-01,9.313409365068523946e-03
4.401467155718572499e-01,9.567083591587170407e-03
4.451483827942647187e-01,3.603915339667213263e-03
4.501500500166721874e-01,6.385477173151160590e-03
4.551517172390796562e-01,9.620053351276285775e-03
4.601533844614871249e-01,2.373833815146983005e-03
4.651550516838945937e-01,2.020584858237904971e-03
4.701567189063020624e-01,1.262431505363403145e-04
4.751583861287095312e-01,8.645086243850120394e-03
4.801600533511169999e-01,3.430460370911492252e-03
4.851617205735244687e-01,9.472973773650860589e-04
4.901633877959319374e-01,3.616336132121103063e-03
4.951650550183394062e-01,5.931664180923105177e-03
5.001667222407468749e-01,4.661236832356362896e-04
5.051683894631543437e-01,7.260729196152180057e-03
5.101700566855618124e-01,4.201675885374856964e-03
5.151717239079692812e-01,7.576715046319799050e-03
5.201733911303767499e-01,3.197878490423512483e-03
5.251750583527842187e-01,4.141616593870229776e-03
5.301767255751916874e-01,1.736007141880146272e-04
5.351783927975991562e-01,9.214342364027029372e-03
5.401800600200066249e-01,3.534197703941602698e-03
5.451817272424140937e-01,1.572913630973657006e-03
5.501833944648215624e-01,5.896485287836811598e-03
5.551850616872290312e-01,7.670003683818599725e-03
5.601867289096364999e-01,9.412735587898202541e-03
5.651883961320439687e-01,5.318578456700049327e-03
5.701900633544514374e-01,5.915370126779858836e-03
5.751917305768589062e-01,7.800233377013163910e-03
5.801933977992663749e-01,1.634042152537705820e-03
5.851950650216738437e-01,9.102930760993768397e-03
5.901967322440813124e-01,3.447752095242979844e-03
5.951983994664887812e-01,5.705268536573568014e-03
6.002000666888962499e-01,8.172990840123793219e-03
6.052017339113037186e-01,7.939703621928785593e-03
6.102034011337111874e-01,8.918509644301826980e-03
6.152050683561186561e-01,7.247064812864383553e-03
6.202067355785261249e-01,4.492150251396750081e-03
6.252084028009335936e-01,8.579506036167538346e-03
6.302100700233410624e-01,8.991895492544758201e-03
6.352117372457485311e-01,5.230128967956733550e-03
6.402134044681559999e-01,4.436062671860859646e-03
6.452150716905634686e-01,5.118846603685990766e-03
6.502167389129709374e-01,1.833767041961667033e-03
6.552184061353784061e-01,6.159931213908401842e-03
6.602200733577858749e-01,7.303016762792902475e-03
6.652217405801933436e-01,9.382936685357677435e-04
6.702234078026008124e-01,7.945066316061389494e-03
6.752250750250082811e-01,7.608696006469233865e-03
6.802267422474157499e-01,4.685180161568955857e-03
6.852284094698232186e-01,2.050951639795759417e-03
6.902300766922306874e-01,4.245655088732024855e-04
6.952317439146381561e-01,3.405612074934256852e-03
7.002334111370456249e-01,6.328579003320562550e-03
7.052350783594530936e-01,1.474181734029920152e-03
7.102367455818605624e-01,3.630487411726025619e-03
7.152384128042680311e-01,7.419477945408490052e-03
7.202400800266754999e-01,9.814634130503083198e-03
7.252417472490829686e-01,8.972379058412530833e-03
7.302434144714904374e-01,5.573321828050206532e-03
7.352450816938979061e-01,8.080907027215748772e-03
7.402467489163053749e-01,2.398857650825893945e-03
7.452484161387128436e-01,2.223660305525565484e-03
7.502500833611203124e-01,7.067175972318174952e-03
7.552517505835277811e-01,1.030862924130706432e-03
7.602534178059352499e-01,6.429849442745822277e-03
7.652550850283427186e-01,8.842713393607405659e-03
7.702567522507501874e-01,6.160741087413390505e-04
7.752584194731576561e-01,3.704430482158925942e-03
7.802600866955651249e-01,4.688084741249749429e-03
7.852617539179725936e-01,9.250056917634112350e-03
7.902634211403800624e-01,1.586153030697216122e-03
7.952650883627875311e-01,3.768757322250707639e-03
8.002667555851949999e-01,2.403396836252633898e-03
8.052684228076024686e-01,9.818830055327959841e-03
8.102700900300099374e-01,1.220670616890939678e-03
8.152717572524174061e-01,1.084290062049403282e-03
8.202734244748248749e-01,3.617516098729537440e-03
8.252750916972323436e-01,4.256234432346580644e-03
8.302767589196398124e-01,8.616699181294080676e-03
8.352784261420472811e-01,4.785030423618540649e-04
8.402800933644547499e-01,7.702161259095282458e-03
8.452817605868622186e-01,8.106907611373297476e-03
8.502834278092696874e-01,4.940435867943142670e-03
8.552850950316771561e-01,4.393112701847214259e-03
8.602867622540846249e-01,4.740787785246521231e-03
8.652884294764920936e-01,2.321193105553328705e-03
8.702900966988995624e-01,5.472056904742748917e-03
8.752917639213070311e-01,2.682771382689962646e-03
8.802934311437144999e-01,9.595916236105055119e-03
8.852950983661219686e-01,7.547315587941338163e-04
8.902967655885294374e-01,5.165508021230013269e-04
8.952984328109369061e-01,6.590355763172428896e-03
9.003001000333443749e-01,8.763198319848867698e-03
9.053017672557518436e-01,1.878910039886750932e-03
9.103034344781593123e-01,9.245988189094870094e-03
9.153051017005667811e-01,7.627369206026787807e-03
9.203067689229742498e-01,7.779366811495685118e-03
9.253084361453817186e-01,8.343461705404752122e-04
9.303101033677891873e-01,2.849095693430386735e-03
9.353117705901966561e-01,9.746115340728708776e-03
9.403134378126041248e-01,7.953065828020820793e-03
9.453151050350115936e-01,9.111976479711389465e-03
9.503167722574190623e-01,9.329069836858348841e-03
9.553184394798265311e-01,7.929660518661132973e-03
9.603201067022339998e-01,1.734465457992568922e-03
9.653217739246414686e-01,1.967739807822842506e-03
9.703234411470489373e-01,5.811355485578686454e-03
9.753251083694564061e-01,6.253815287989734732e-03
9.803267755918638748e-01,4.146352228895671364e-03
9.853284428142713436e-01,9.379015036659627685e-03
9.903301100366788123e-01,6.277637005788895379e-03
9.953317772590862811e-01,6.870707772561034663e-04
1.000333444481493750e+00,6.296753471769697512e-03
1.005335111703901330e+00,1.045501673129971970e-02
1.010336778926308687e+00,1.461934358825472680e-01
1.015338446148716045e+00,6.799815650575989912e-01
1.020340113371123625e+00,2.103456802666045622e+00
1.025341780593531205e+00,4.298124602241975012e+00
1.030343447815938562e+00,7.419582786329369739e+00
1.035345115038345920e+00,1.095493621313464061e+01
1.040346782260753500e+00,1.419149831581774279e+01
1.045348449483161080e+00,1.665950827353526265e+01
1.050350116705568437e+00,2.057004897324795323e+01
1.055351783927975795e+00,2.254181144749393439e+01
1.060353451150383375e+00,2.495696912081298535e+01
1.065355118372790955e+00,2.699409490026100045e+01
1.070356785595198312e+00,2.877321187725171114e+01
1.075358452817605670e+00,2.909002843849839692e+01
1.080360120040013250e+00,2.992348366332890919e+01
1.085361787262420830e+00,2.907608926993850673e+01
1.090363454484828187e+00,2.954372048828021846e+01
1.095365121707235545e+00,2.963726503515817257e+01
1.100366788929643125e+00,3.093530780657707524e+01
1.105368456152050705e+00,3.086808606656615339e+01
1.110370123374458062e+00,2.959540175694218789e+01
1.115371790596865420e+00,2.787311837119359481e+01
1.120373457819273000e+00,2.661913619914274776e+01
1.125375125041680580e+00,2.491348375631414314e+01
1.130376792264087937e+00,2.235297658220824957e+01
1.135378459486495295e+00,2.193420881869796801e+01
1.140380126708902875e+00,1.973354825277838742e+01
1.145381793931310455e+00,1.683074954209030949e+01
1.150383461153717812e+00,1.500572017290705773e+01
1.155385128376125170e+00,1.351793450233594740e+01
1.160386795598532750e+00,1.127354251794134221e+01
1.165388462820940330e+00,1.065903333097722516e+01
1.170390130043347687e+00,8.834421925532968345e+00
1.175391797265755045e+00,8.243009624630714072e+00
1.180393464488162625e+00,7.658050174755310913e+00
1.185395131710570205e+00,6.726359902795288725e+00
1.190396798932977562e+00,6.386202350777196557e+00
1.195398466155384920e+00,5.576774140835071947e+00
1.200400133377792500e+00,5.536623530359713108e+00
1.205401800600200080e+00,4.921272096453109590e+00
1.210403467822607437e+00,4.537148676929381175e+00
1.215405135045014795e+00,4.503292874351441988e+00
1.220406802267422375e+00,3.957197360889688209e+00
1.225408469489829955e+00,3.951987907267960232e+00
1.230410136712237312e+00,3.712320058060623484e+00
1.235411803934644670e+00,3.524848816270705232e+00
1.240413471157052250e+00,3.126478689920602072e+00
1.245415138379459830e+00,2.952282037143739490e+00
1.250416805601867187e+00,2.894559035155003013e+00
1.255418472824274545e+00,2.768539673287451652e+00
1.260420140046682125e+00,2.668340628976364926e+00
1.265421807269089705e+00,2.462640364708842622e+00
1.270423474491497062e+00,2.414997851128804385e+00
1.275425141713904420e+00,2.313712851430450801e+00
1.280426808936312000e+00,2.069022950918794734e+00
1.285428476158719580e+00,1.986657288810775190e+00
1.290430143381126937e+00,1.914893182911260539e+00
1.295431810603534295e+00,1.803992046902411994e+00
1.300433477825941875e+00,1.866578208397118299e+00
1.305435145048349455e+00,1.803727687839902893e+00
1.310436812270756812e+00,1.715527478647811188e+00
1.315438479493164170e+00,1.530347952006016810e+00
1.320440146715571750e+00,1.570218129340097413e+00
1.325441813937979330e+00,1.449694204241403828e+00
1.330443481160386687e+00,1.483032918308923476e+00
1.335445148382794045e+00,1.378970788030731587e+00
1.340446815605201625e+00,1.342382436909387078e+00
1.345448482827609205e+00,1.305397410140422876e+00
1.350450150050016562e+00,1.194187305133941557e+00
1.355451817272423920e+00,1.166063606224211346e+00
1.360453484494831500e+00,1.139423624679479552e+00
1.365455151717239080e+00,1.035077404038982296e+00
1.370456818939646437e+00,1.008238573351274203e+00
1.375458486162053795e+00,1.025211586463317115e+00
1.380460153384461375e+00,1.001086129583210305e+00
1.385461820606868955e+00,9.937655698689030759e-01
1.390463487829276312e+00,9.539038486052811017e-01
1.395465155051683670e+00,8.895105616155782879e-01
1.400466822274091250e+00,8.546060129254036131e-01
1.405468489496498830e+00,8.351224247490746100e-01
1.410470156718906187e+00,7.995379844095300559e-01
1.415471823941313545e+00,8.012455416535897434e-01
1.420473491163721125e+00,7.922989467256942309e-01
1.425475158386128705e+00,7.293474043941242657e-01
1.430476825608536062e+00,7.437489897393774196e-01
1.435478492830943420e+00,7.202089095637272953e-01
1.440480160053351000e+00,6.561001139916670111e-01
1.445481827275758580e+00,6.264085364577430814e-01
1.450483494498165937e+00,6.067856538859450755e-01
1.455485161720573295e+00,6.365446325819779094e-01
1.460486828942980875e+00,6.161008619174588308e-01
1.465488496165388455e+00,5.527519752969431988e-01
1.470490163387795812e+00,5.593017645815703265e-01
1.475491830610203170e+00,5.450727441584020116e-01
1.480493497832610750e+00,5.120783169325566764e-01
1.485495165055018330e+00,5.326830144193716032e-01
1.490496832277425687e+00,5.262182399174009095e-01
1.495498499499833045e+00,5.163495446691398483e-01
1.500500166722240625e+00,4.785580694487817643e-01
1.505501833944648205e+00,4.645401516909759554e-01
1.510503501167055562e+00,4.382915988797440598e-01
1.515505168389462920e+00,4.256157143121602204e-01
1.520506835611870500e+00,4.226069142415222468e-01
1.525508502834278080e+00,4.168630892589952341e-01
1.530510170056685437e+00,4.106481976655723121e-01
1.535511837279092795e+00,3.955908407266555127e-01
1.540513504501500375e+00,4.064745313778204139e-01
1.545515171723907955e+00,3.748717061077608825e-01
1.550516838946315312e+00,3.704576279861854227e-01
1.555518506168722670e+00,3.767146412192399763e-01
1.560520173391130250e+00,3.685774741403131660e-01
1.565521840613537830e+00,3.460806273600720573e-01
1.570523507835945187e+00,3.309702316711858328e-01
1.575525175058352545e+00,3.234682119353945451e-01
1.580526842280760125e+00,3.166836396227465378e-01
1.585528509503167705e+00,3.136488450074263468e-01
1.590530176725575062e+00,2.993245782168299507e-01
1.595531843947982420e+00,3.141502546264509088e-01
1.600533511170390000e+00,2.827864392707198360e-01
1.605535178392797580e+00,2.825568445169522880e-01
1.610536845615204937e+00,2.715201713012814766e-01
1.615538512837612295e+00,2.622327712128745825e-01
1.620540180060019875e+00,2.715400244004630426e-01
1.625541847282427455e+00,2.647499927057815894e-01
1.630543514504834812e+00,2.417674798142859238e-01
1.635545181727242170e+00,2.506326466164405242e-01
1.640546848949649750e+00,2.339802794350899773e-01
1.645548516172057329e+00,2.366924971026194702e-01
1.650550183394464687e+00,2.285490897090556583e-01
1.655551850616872045e+00,2.348563962358371504e-01
1.660553517839279625e+00,2.120805411235556215e-01
1.665555185061687204e+00,2.104820059839029311e-01
1.670556852284094562e+00,2.131846092773314327e-01
1.675558519506501920e+00,2.158466804950796569e-01
1.680560186728909500e+00,2.051870659700597010e-01
1.685561853951317079e+00,1.924066667613163750e-01
1.690563521173724437e+00,2.042306491937763424e-01
1.695565188396131795e+00,1.827624669746221175e-01
1.700566855618539375e+00,1.723401581449193753e-01
1.705568522840946954e+00,1.794294422677295553e-01
1.710570190063354312e+00,1.766417012187371793e-01
1.715571857285761670e+00,1.756701297072188750e-01
1.720573524508169250e+00,1.717469415345704298e-01
1.725575191730576829e+00,1.627182558652145450e-01
1.730576858952984187e+00,1.681774164480831779e-01
1.735578526175391545e+00,1.543310824762022526e-01
1.740580193397799125e+00,1.667179191667243765e-01
1.745581860620206704e+00,1.616512121517388045e-01
1.750583527842614062e+00,1.516571645364449550e-01
1.755585195065021420e+00,1.552750984797985345e-01
1.760586862287429000e+00,1.438540457109472592e-01
1.765588529509836579e+00,1.432774860815308193e-01
1.770590196732243937e+00,1.387274975616921424e-01
1.775591863954651295e+00,1.398965416234156101e-01
1.780593531177058875e+00,1.329063811717489385e-01
1.785595198399466454e+00,1.348435344558535920e-01
1.790596865621873812e+00,1.304698733968910618e-01
1.795598532844281170e+00,1.242495347249438636e-01
1.800600200066688750e+00,1.216946930500498875e-01
1.805601867289096329e+00,1.186985014234110125e-01
1.810603534511503687e+00,1.199524799526708457e-01
1.815605201733911045e+00,1.077908169966846630e-01
1.820606868956318625e+00,1.232392945177288868e-01
1.825608536178726204e+00,1.068831493575335134e-01
1.830610203401133562e+00,1.151969927541696137e-01
1.835611870623540920e+00,1.066908663013194924e-01
1.840613537845948500e+00,1.022526565420673467e-01
1.845615205068356079e+00,1.017055353599010670e-01
1.850616872290763437e+00,9.447523538052253478e-02
1.855618539513170795e+00,9.323505286646409373e-02
1.860620206735578375e+00,9.986504376264813965e-02
1.865621873957985954e+00,9.604506517119371090e-02
1.870623541180393312e+00,9.525228945717706397e-02
1.875625208402800670e+00,9.279421906055596025e-02
1.880626875625208250e+00,9.294577169583619070e-02
1.885628542847615829e+00,8.566559707311037497e-02
1.890630210070023187e+00,8.573443767239188884e-02
1.895631877292430545e+00,8.027213418508469256e-02
1.900633544514838125e+00,8.563968300207012996e-02
1.905635211737245704e+00,7.916765011519730222e-02
1.910636878959653062e+00,8.466991738553195090e-02
1.915638546182060420e+00,8.083437749112930282e-02
1.920640213404468000e+00,8.155494071366928277e-02
1.925641880626875579e+00,7.870715258099865441e-02
1.930643547849282937e+00,7.405296869897379231e-02
1.935645215071690295e+00,7.107672368236027383e-02
1.940646882294097875e+00,7.317014830669918424e-02
1.945648549516505454e+00,6.778168594728649354e-02
1.950650216738912812e+00,6.688776750804290017e-02
1.955651883961320170e+00,6.739698964415916094e-02
1.960653551183727750e+00,6.623843693670790345e-02
1.965655218406135329e+00,6.216459005637332835e-02
1.970656885628542687e+00,6.535710011268579256e-02
1.975658552850950045e+00,6.643422192332720799e-02
1.980660220073357625e+00,6.336456961600320237e-02
1.985661887295765204e+00,6.723540751001197413e-02
1.990663554518172562e+00,5.729109837017078849e-02
1.995665221740579920e+00,5.589087490173090533e-02
2.000666888962987500e+00,5.380230061133061542e-02
2.005668556185395079e+00,5.274832117335347820e-02
2.010670223407802659e+00,5.703854294506922884e-02
2.015671890630209795e+00,5.936909043145869452e-02
2.020673557852617375e+00,5.528106003281982317e-02
2.025675225075024954e+00,5.301334886523478840e-02
2.030676892297432090e+00,5.378209542264733578e-02
2.035678559519839670e+00,4.940718027352033331e-02
2.040680226742247250e+00,5.234613394043659274e-02
2.045681893964654829e+00,5.682423557120312718e-02
2.050683561187062409e+00,5.325490535264335717e-02
2.055685228409469545e+00,4.937295358233961123e-02
2.060686895631877125e+00,4.649778552565048823e-02
2.065688562854284704e+00,4.810954750092139021e-02
2.070690230076691840e+00,4.601865304229894871e-02
2.075691897299099420e+00,4.626474297598487384e-02
2.080693564521507000e+00,4.606755300508211942e-02
2.085695231743914579e+00,4.573755092249524173e-02
2.090696898966322159e+00,4.456000611886930252e-02
2.095698566188729295e+00,3.733000299597370036e-02
2.100700233411136875e+00,3.838567428492001971e-02
2.105701900633544454e+00,3.885046450406831609e-02
2.110703567855951590e+00,4.042401414876543864e-02
2.115705235078359170e+00,3.594140101011639860e-02
2.120706902300766750e+00,3.660814786839552276e-02
2.125708569523174329e+00,3.897893488646507476e-02
2.130710236745581909e+00,3.757517139932533418e-02
2.135711903967989045e+00,4.432148536958781249e-02
2.140713571190396625e+00,4.109854916923208479e-02
2.145715238412804204e+00,4.010379740476318483e-02
2.150716905635211340e+00,3.417859090958220297e-02
2.155718572857618920e+00,3.451911465055850642e-02
2.160720240080026500e+00,3.510794774922208761e-02
2.165721907302434079e+00,3.636269356931361163e-02
2.170723574524841659e+00,3.513041286402710656e-02
2.175725241747248795e+00,3.116699741557351147e-02
2.180726908969656375e+00,3.740210763010174549e-02
2.185728576192063954e+00,3.299984664268709039e-02
2.190730243414471090e+00,3.015493734864006098e-02
2.195731910636878670e+00,2.925747092266797050e-02
2.200733577859286250e+00,3.564715202197311222e-02
2.205735245081693829e+00,2.590552513164348994e-02
2.210736912304101409e+00,2.852398578503956630e-02
2.215738579526508545e+00,3.497650270648722942e-02
2.220740246748916125e+00,3.110710933599855968e-02
2.225741913971323704e+00,2.503350811441019258e-02
2.230743581193730840e+00,2.673439630578262199e-02
2.235745248416138420e+00,2.732454272861724667e-02
2.240746915638546000e+00,2.953392105810441828e-02
2.245748582860953579e+00,2.559582074050801431e-02
2.250750250083361159e+00,2.892262261356010403e-02
2.255751917305768295e+00,2.142298392634478521e-02
2.260753584528175875e+00,2.872888957575182867e-02
2.265755251750583454e+00,2.571967774971109857e-02
2.270756918972990590e+00,2.799951192405420591e-02
2.275758586195398170e+00,2.430482788582252751e-02
2.280760253417805750e+00,2.130389146765132580e-02
2.285761920640213329e+00,2.794342292646768283e-02
2.290763587862620909e+00,2.984291118290108291e-02
2.295765255085028045e+00,2.153697550671888547e-02
2.300766922307435625e+00,2.340784837364208101e-02
2.305768589529843204e+00,2.462016051819038848e-02
2.310770256752250340e+00,1.816148927392137458e-02
2.315771923974657920e+00,2.397149587178559055e-02
2.320773591197065500e+00,2.639039521546655137e-02
2.325775258419473079e+00,2.638605851496025542e-02
2.330776925641880659e+00,2.260601589723270841e-02
2.335778592864287795e+00,2.361645412086248175e-02
2.340780260086695375e+00,1.809384408045518547e-02
2.345781927309102954e+00,1.681955156290005152e-02
2.350783594531510090e+00,2.207492247330257104e-02
2.355785261753917670e+00,2.075545948174949834e-02
2.360786928976325250e+00,2.249426042133458731e-02
2.365788596198732829e+00,1.657272619478408759e-02
2.370790263421140409e+00,2.323042678745600512e-02
2.375791930643547545e+00,1.899040247961335248e-02
2.380793597865955125e+00,2.155055202141257023e-02
2.385795265088362704e+00,1.657759384113308490e-02
2.390796932310769840e+00,2.228431384442589036e-02
2.395798599533177420e+00,1.436502904919398013e-02
2.400800266755585000e+00,2.031963623668953806e-02
2.405801933977992579e+00,1.643236510553290966e-02
2.410803601200400159e+00,1.952505410774000097e-02
2.415805268422807295e+00,2.248273289744080750e-02
2.420806935645214875e+00,1.285913980020003851e-02
2.425808602867622454e+00,1.731352692991876968e-02
2.430810270090029590e+00,1.253713484779415618e-02
2.435811937312437170e+00,1.453604093380557113e-02
2.440813604534844750e+00,2.128476198841553271e-02
2.445815271757252329e+00,2.006968693463753034e-02
2.450816938979659909e+00,1.431856420401120267e-02
2.455818606202067045e+00,2.104158290102434853e-02
2.460820273424474625e+00,1.659815924693932437e-02
2.465821940646882204e+00,1.516669680860675481e-02
2.470823607869289340e+00,1.556475797562684171e-02
2.475825275091696920e+00,1.636210434489312332e-02
2.480826942314104500e+00,1.290364814985984696e-02
2.485828609536512079e+00,1.755974827200621619e-02
2.490830276758919659e+00,1.182843582039340771e-02
2.495831943981326795e+00,1.532904328522121523e-02
2.500833611203734375e+00,1.636240893935472784e-02
2.505835278426141954e+00,1.818135775010447028e-02
2.510836945648549090e+00,9.435840419192636358e-03
2.515838612870956670e+00,1.774497826704192829e-02
2.520840280093364250e+00,1.733986440883921593e-02
2.525841947315771829e+00,1.092112651943633224e-02
2.530843614538179409e+00,1.582162305085567378e-02
2.535845281760586545e+00,1.070987772367426767e-02
2.540846948982994125e+00,1.109960269234430176e-02
2.545848616205401704e+00,1.649716000966231638e-02
2.550850283427808840e+00,1.115651158342087848e-02
2.555851950650216420e+00,1.529452159773350695e-02
2.560853617872624000e+00,1.490803990028630871e-02
2.565855285095031579e+00,1.619858622264884820e-02
2.570856952317439159e+00,1.398706162837045838e-02
2.575858619539846295e+00,1.422749982062356672e-02
2.580860286762253875e+00,1.051505914991040722e-02
2.585861953984661454e+00,1.279205098381443542e-02
2.590863621207068590e+00,1.656022513127263993e-02
2.595865288429476170e+00,1.677914943089752267e-02
2.600866955651883750e+00,7.074564011595443555e-03
2.605868622874291329e+00,9.113745382742288736e-03
2.610870290096698909e+00,1.234837616003313550e-02
2.615871957319106045e+00,1.113604541067729492e-02
2.620873624541513625e+00,1.387990846293859007e-02
2.625875291763921204e+00,1.217413717421360342e-02
2.630876958986328340e+00,8.773839342191246116e-03
2.635878626208735920e+00,1.194876643430396734e-02
2.640880293431143500e+00,1.353408837158747227e-02
2.645881960653551079e+00,6.644635251320744895e-03
2.650883627875958659e+00,1.418690807340574657e-02
2.655885295098365795e+00,8.395886202125397990e-03
2.660886962320773375e+00,1.527322189235699734e-02
2.665888629543180954e+00,1.429765195232174380e-02
2.670890296765588090e+00,1.099891324813229154e-02
2.675891963987995670e+00,1.255312841148530784e-02
2.680893631210403250e+00,8.291196868662335448e-03
2.685895298432810829e+00,1.153616001304719023e-02
2.690896965655218409e+00,1.165255399284510773e-02
2.695898632877625545e+00,1.492357001836178837e-02
2.700900300100033125e+00,1.440910796397014242e-02
2.705901967322440704e+00,1.010440281732003127e-02
2.710903634544847840e+00,1.117387673913856384e-02
2.715905301767255420e+00,8.837617820525152032e-03
2.720906968989663000e+00,1.237853423863290517e-02
2.725908636212070579e+00,6.176973284080882615e-03
2.730910303434478159e+00,5.576331245139754325e-03
2.735911970656885295e+00,1.298081825412381561e-02
2.740913637879292875e+00,5.880727649691561490e-03
2.745915305101700454e+00,1.364236140136218176e-02
2.750916972324107590e+00,6.568891093719253158e-03
2.755918639546515170e+00,7.227853085501800313e-03
2.760920306768922750e+00,5.128933031109356860e-03
2.765921973991330329e+00,6.996469560031905351e-03
2.770923641213737909e+00,9.140608768481113533e-03
2.775925308436145045e+00,1.172142026828226075e-02
2.780926975658552625e+00,1.222754906287329760e-02
2.785928642880960204e+00,7.779062685744410691e-03
2.790930310103367340e+00,1.303743449077620145e-02
2.795931977325774920e+00,8.405171199765547330e-03
2.800933644548182500e+00,4.524446675590624786e-03
2.805935311770590079e+00,5.519079121002481124e-03
2.810936978992997659e+00,4.425884543713067346e-03
2.815938646215404795e+00,1.317290664551019203e-02
2.820940313437812375e+00,7.114085458372957672e-03
2.825941980660219954e+00,9.744434049819226604e-03
2.830943647882627090e+00,1.297617997613809138e-02
2.835945315105034670e+00,8.113688980305358567e-03
2.840946982327442250e+00,1.027078600120078476e-02
2.845948649549849829e+00,4.998631467668466360e-03
2.850950316772257409e+00,9.516245523376381729e-03
2.855951983994664545e+00,4.691961187175466667e-03
2.860953651217072125e+00,1.069917978702222480e-02
2.865955318439479704e+00,7.320558573842412403e-03
2.870956985661886840e+00,6.572129851548647907e-03
2.875958652884294420e+00,4.588048814958415808e-03
2.880960320106702000e+00,8.572741393074427216e-03
2.885961987329109579e+00,7.221488932671078255e-03
2.890963654551517159e+00,1.135049776738755907e-02
2.895965321773924295e+00,9.325347424376871641e-03
2.900966988996331875e+00,1.202832084565446866e-02
2.905968656218739454e+00,1.181682028549575075e-02
